[18:36:36](info)+ |=user> 16(student) |=get> /exams |=info> sent
[18:36:42](info)+ |=user> 16(student) |=get> / |=info> sent
[18:36:47](info)+ |=user> (null) |=get> /logout |=info> sent
[18:36:47](info)+ |=user> (null) |=get> /login |=info> sent
[18:36:53](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:15
[18:36:53](info)+ |=user> 15(teacher) |=get> / |=info> sent
[18:36:58](info)+ |=user> 15(teacher) |=get> /question-papers |=info> sent
[18:37:00](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:37:10](info)+ |=user> 15(teacher) |=post> /edit-question-paper |=info> updated
[18:37:10](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:37:15](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000014 |=info> sent
[18:37:24](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000016 |=info> sent
[18:37:44](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:37:46](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000014 |=info> sent
[18:37:52](info)+ |=user> 15(teacher) |=post> /edit-answer-paper |=info> updated
[18:37:52](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000014 |=info> sent
[18:37:55](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:38:03](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000016 |=info> sent
[18:38:16](info)+ |=user> 15(teacher) |=post> /edit-answer-paper |=info> updated
[18:38:16](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000016 |=info> sent
[18:38:18](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:38:23](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000014 |=info> sent
[18:38:28](info)+ |=user> 15(teacher) |=post> /edit-answer-paper |=info> updated
[18:38:28](info)+ |=user> 15(teacher) |=get> /answer-paper/cmsa-cc11-2022-ANS-II10000014 |=info> sent
[18:38:30](info)+ |=user> 15(teacher) |=get> /question-paper/cmsa-cc11-2022 |=info> sent
[18:38:38](info)+ |=user> (null) |=get> /logout |=info> sent
[18:38:38](info)+ |=user> (null) |=get> /login |=info> sent
[18:38:45](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:16
[18:38:45](info)+ |=user> 16(student) |=get> / |=info> sent
[18:38:46](info)+ |=user> 16(student) |=get> /results |=info> sent
[18:38:54](info)+ |=user> 16(student) |=get> / |=info> sent
[18:38:57](info)+ |=user> 16(student) |=get> /exams |=info> sent
[18:38:58](info)+ |=user> 16(student) |=get> / |=info> sent
[18:38:58](info)+ |=user> (null) |=get> /logout |=info> sent
[18:38:58](info)+ |=user> (null) |=get> /login |=info> sent
[18:44:56](info)+ |=user> (null) |=get> /login |=info> sent
[19:04:35](info)+ |=user> (null) |=info> db connection
[19:04:35](info)+ |=user> (null) |=info> db connection
[19:04:40](info)+ |=user> (null) |=get> / |=info> permission denied
[19:04:40](info)+ |=user> (null) |=get> /login |=info> sent
[19:04:45](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:1
[19:04:45](info)+ |=user> 1(admin) |=get> / |=info> sent
[19:06:02](info)+ |=user> (null) |=get> / |=info> permission denied
[19:06:02](info)+ |=user> (null) |=get> /login |=info> sent
[19:06:06](info)+ |=user> (null) |=get> /login |=info> sent
[19:06:22](info)+ |=user> (null) |=post> /login |=info> login successfull, userid:14
[19:06:22](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:27](info)+ |=user> 1(admin) |=get> / |=info> sent
[19:06:28](info)+ |=user> 1(admin) |=get> / |=info> sent
[19:06:31](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:31](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:32](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:32](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:32](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:32](info)+ |=user> 14(student) |=get> / |=info> sent
[19:06:36](info)+ |=user> 14(student) |=get> / |=info> sent
